Duration,EST,Marth (Total),Hardin (Total),Marth (Hourly),Hardin (Hourly),Marth Bonus,Hardin Bonus,Multiplier,Lead Difference Marth vs Hardin,,Marth,Hardin,1st Hr Ratio,Current Ratio,Round Over?,Marth % Difference (<=99 for Bonus),Hardin % Difference (<=99 for Bonus),Top Multiplier Line,Bot Multiplier Line
0,3:00 AM ,0,0,0,0,N/A,N/A,3.1,0,Hourly Avg,"26,029,165","20,657,186",1.3376 : 1,1.2601 : 1,YES,,,0,0
1,4:00 AM ,"8,981,468","6,714,686","8,981,468","6,714,686",NO,YES,3.2,"2,266,782",Bonus Avg,"86,971,718","64,567,807",,,,133.76%,74.76%,"89,815","-67,147"
2,5:00 AM ,"21,965,602","98,377,570","12,984,134","91,662,884",YES,NO,3.3,"-76,411,968",Current Total,"7,439,061,142","8,152,889,156",,,,22.33%,447.87%,"219,656","-983,776"
3,6:00 AM ,"155,866,032","112,018,252","133,900,430","13,640,682",NO,YES,3.4,"43,847,780",Bonus Active,YES,NO,,,,139.14%,71.87%,"1,558,660","-1,120,183"
4,7:00 AM ,"172,244,388","252,902,693","16,378,356","140,884,441",YES,NO,3.5,"-80,658,305",,The sheet was last updated by the bot at 4:01:56 AM EDT,,,,,68.11%,146.83%,"1,722,444","-2,529,027"
5,8:00 AM ,"363,681,729","272,794,664","191,437,341","19,891,971",NO,YES,3.6,"90,887,065",,,,,,,133.32%,75.01%,"3,636,817","-2,727,947"
6,9:00 AM ,"387,702,714","495,521,368","24,020,985","222,726,704",YES,NO,3.7,"-107,818,654",,,,,,,78.24%,127.81%,"3,877,027","-4,955,214"
7,10:00 AM ,"646,273,027","521,507,014","258,570,313","25,985,646",NO,YES,3.8,"124,766,013",,,,,,,123.92%,80.69%,"6,462,730","-5,215,070"
8,11:00 AM ,"672,391,758","758,513,303","26,118,731","237,006,289",YES,NO,3.9,"-86,121,545",,,,,,,88.65%,112.81%,"6,723,918","-7,585,133"
9,12:00 PM ,"939,157,848","781,000,170","266,766,090","22,486,867",NO,YES,4.0,"158,157,678",,,,,,,120.25%,83.16%,"9,391,578","-7,810,002"
10,1:00 PM ,"963,504,971","983,561,239","24,347,123","202,561,069",YES,NO,4.1,"-20,056,268",,,,,,,97.96%,102.08%,"9,635,050","-9,835,612"
11,2:00 PM ,"1,216,459,407","1,002,424,066","252,954,436","18,862,827",NO,YES,4.2,"214,035,341",,,,,,,121.35%,82.41%,"12,164,594","-10,024,241"
12,3:00 PM ,"1,240,218,964","1,203,754,764","23,759,557","201,330,698",NO,YES,4.3,"36,464,200",,,,,,,103.03%,97.06%,"12,402,190","-12,037,548"
13,4:00 PM ,"1,258,931,711","1,387,045,232","18,712,747","183,290,468",YES,NO,4.4,"-128,113,521",,,,,,,90.76%,110.18%,"12,589,317","-13,870,452"
14,5:00 PM ,"1,565,583,374","1,407,857,262","306,651,663","20,812,030",NO,YES,4.5,"157,726,112",,,,,,,111.20%,89.93%,"15,655,834","-14,078,573"
15,6:00 PM ,"1,593,346,586","1,649,636,889","27,763,212","241,779,627",YES,NO,4.6,"-56,290,303",,,,,,,96.59%,103.53%,"15,933,466","-16,496,369"
16,7:00 PM ,"1,994,396,690","1,671,639,272","401,050,104","22,002,383",NO,YES,4.7,"322,757,418",,,,,,,119.31%,83.82%,"19,943,967","-16,716,393"
17,8:00 PM ,"2,025,628,647","1,942,629,661","31,231,957","270,990,389",NO,YES,4.8,"82,998,986",,,,,,,104.27%,95.90%,"20,256,286","-19,426,297"
18,9:00 PM ,"2,042,956,999","2,174,628,426","17,328,352","231,998,765",YES,NO,4.9,"-131,671,427",,,,,,,93.95%,106.45%,"20,429,570","-21,746,284"
19,10:00 PM ,"2,392,390,641","2,193,728,301","349,433,642","19,099,875",NO,YES,5.0,"198,662,340",,,,,,,109.06%,91.70%,"23,923,906","-21,937,283"
20,11:00 PM ,"2,422,116,773","2,476,682,484","29,726,132","282,954,183",YES,NO,5.1,"-54,565,711",,,,,,,97.80%,102.25%,"24,221,168","-24,766,825"
21,12:00 AM ,"2,913,525,028","2,500,950,197","491,408,255","24,267,713",NO,YES,5.2,"412,574,831",,,,,,,116.50%,85.84%,"29,135,250","-25,009,502"
22,1:00 AM ,"2,938,728,601","2,769,676,190","25,203,573","268,725,993",NO,YES,5.3,"169,052,411",,,,,,,106.10%,94.25%,"29,387,286","-27,696,762"
