Duration,EST,Marth (Total),Hardin (Total),Marth (Hourly),Hardin (Hourly),Marth Bonus,Hardin Bonus,Multiplier,Lead Difference Marth vs Hardin,,Marth,Hardin,1st Hr Ratio,Current Ratio,Round Over?,Marth % Difference (<=99 for Bonus),Hardin % Difference (<=99 for Bonus),Top Multiplier Line,Bot Multiplier Line
23,2:00 AM ,"2,953,168,570","3,022,998,207","14,439,969","253,322,017",YES,NO,5.4,"-69,829,637",,,,,,,97.69%,102.36%,"29,531,686","-30,229,982"
24,3:00 AM ,"3,328,745,316","3,039,697,452","375,576,746","16,699,245",NO,YES,5.5,"289,047,864",,,,,,,109.51%,91.32%,"33,287,453","-30,396,975"
25,4:00 AM ,"3,374,145,662","3,445,377,498","45,400,346","405,680,046",YES,NO,5.6,"-71,231,836",,City (Time Zone),Current Time,,,,97.93%,102.11%,"33,741,457","-34,453,775"
26,5:00 AM ,"3,852,078,870","3,469,752,579","477,933,208","24,375,081",NO,YES,5.7,"382,326,291",,New York (EST),7/7/2018 4:00 AM,,,,111.02%,90.07%,"38,520,789","-34,697,526"
27,6:00 AM ,"3,879,903,451","3,859,624,068","27,824,581","389,871,489",NO,NO,5.8,"20,279,383",,Chicago (CST),7/7/2018 3:00 AM,,,,100.53%,99.48%,"38,799,035","-38,596,241"
28,7:00 AM ,"3,899,422,928","3,888,605,664","19,519,477","28,981,596",NO,NO,5.9,"10,817,264",,Denver (MST),7/7/2018 2:00 AM,,,,100.28%,99.72%,"38,994,229","-38,886,057"
29,8:00 AM ,"3,922,795,764","3,912,005,312","23,372,836","23,399,648",NO,NO,6.0,"10,790,452",,Los Angeles (PST),7/7/2018 1:00 AM,,,,100.28%,99.72%,"39,227,958","-39,120,053"
30,9:00 AM ,"3,948,408,777","3,935,491,318","25,613,013","23,486,006",NO,NO,6.1,"12,917,459",,London (GMT),7/7/2018 09:00,,,,100.33%,99.67%,"39,484,088","-39,354,913"
31,10:00 AM ,"3,974,725,629","3,957,867,651","26,316,852","22,376,333",NO,NO,6.2,"16,857,978",,Berlin (CET),7/7/2018 10:00,,,,100.43%,99.58%,"39,747,256","-39,578,677"
32,11:00 AM ,"4,002,037,736","3,979,274,626","27,312,107","21,406,975",NO,NO,6.3,"22,763,110",,Tokyo (JST),2018/7/7 17:00,,,,100.57%,99.43%,"40,020,377","-39,792,746"
33,12:00 PM ,"4,025,609,105","3,998,255,804","23,571,369","18,981,178",NO,NO,6.4,"27,353,301",,Sydney (AEST),7/7/2018 6:00 PM,,,,100.68%,99.32%,"40,256,091","-39,982,558"
34,1:00 PM ,"4,046,175,846","4,014,561,956","20,566,741","16,306,152",NO,NO,6.5,"31,613,890",,,,,,,100.79%,99.22%,"40,461,758","-40,145,620"
35,2:00 PM ,"4,065,529,976","4,028,387,975","19,354,130","13,826,019",NO,NO,6.6,"37,142,001",,,,,,,100.92%,99.09%,"40,655,300","-40,283,880"
36,3:00 PM ,"4,083,390,618","4,040,886,096","17,860,642","12,498,121",NO,YES,6.7,"42,504,522",,,,,,,101.05%,98.96%,"40,833,906","-40,408,861"
37,4:00 PM ,"4,099,323,921","4,474,063,151","15,933,303","433,177,055",YES,NO,6.8,"-374,739,230",,,,,,,91.62%,109.14%,"40,993,239","-44,740,632"
38,5:00 PM ,"4,875,015,709","4,497,031,084","775,691,788","22,967,933",NO,YES,6.9,"377,984,625",,,,,,,108.41%,92.25%,"48,750,157","-44,970,311"
39,6:00 PM ,"4,913,123,232","5,146,125,812","38,107,523","649,094,728",YES,NO,7.0,"-233,002,580",,,,,,,95.47%,104.74%,"49,131,232","-51,461,258"
40,7:00 PM ,"6,073,157,653","5,175,060,515","1,160,034,421","28,934,703",NO,YES,7.1,"898,097,138",,,,,,,117.35%,85.21%,"60,731,577","-51,750,605"
41,8:00 PM ,"6,114,802,411","5,947,762,442","41,644,758","772,701,927",NO,YES,7.2,"167,039,969",,,,,,,102.81%,97.27%,"61,148,024","-59,477,624"
42,9:00 PM ,"6,135,129,954","6,538,601,541","20,327,543","590,839,099",YES,NO,7.3,"-403,471,587",,,,,,,93.83%,106.58%,"61,351,300","-65,386,015"
43,10:00 PM ,"7,325,878,554","6,566,370,324","1,190,748,600","27,768,783",NO,YES,7.4,"759,508,230",,,,,,,111.57%,89.63%,"73,258,786","-65,663,703"
44,11:00 PM ,"7,380,270,535","7,291,053,922","54,391,981","724,683,598",NO,YES,7.5,"89,216,613",,,,,,,101.22%,98.79%,"73,802,705","-72,910,539"
45,12:00 AM ,"7,439,061,142","8,152,889,156","58,790,607","861,835,234",N/A,N/A,N/A,"-713,828,014",,,,,,,91.24%,109.60%,"74,390,611","-81,528,892"
