Duration,EST,Lyon (Total),Ike (Total),Lyon (Hourly),Ike (Hourly),Lyon Bonus,Ike Bonus,Multiplier,Lead Difference Lyon vs Ike,,Lyon,Ike,1st Hr Ratio,Current Ratio,Round Over?,Lyon % Difference (<=99 for Bonus),Ike % Difference (<=99 for Bonus),Top Multiplier Line,Bot Multiplier Line
11,2:00 PM ,"2,550,915,555","4,073,546,078","35,588,449","1,688,236,459",YES,NO,4.2,"-1,522,630,523",,,,,,,62.62%,159.69%,"25,509,156","-40,735,461"
12,3:00 PM ,"2,918,214,627","4,224,199,848","367,299,072","150,653,770",YES,NO,4.3,"-1,305,985,221",,,,,,,69.08%,144.75%,"29,182,146","-42,241,998"
13,4:00 PM ,"3,267,260,974","4,335,121,855","349,046,347","110,922,007",YES,NO,4.4,"-1,067,860,881",,,,,,,75.37%,132.68%,"32,672,610","-43,351,219"
14,5:00 PM ,"3,637,865,876","4,447,274,823","370,604,902","112,152,968",YES,NO,4.5,"-809,408,947",,,,,,,81.80%,122.25%,"36,378,659","-44,472,748"
15,6:00 PM ,"4,057,903,025","4,568,484,248","420,037,149","121,209,425",YES,NO,4.6,"-510,581,223",,,,,,,88.82%,112.58%,"40,579,030","-45,684,842"
16,7:00 PM ,"4,537,076,562","4,694,699,445","479,173,537","126,215,197",YES,NO,4.7,"-157,622,883",,,,,,,96.64%,103.47%,"45,370,766","-46,946,994"
17,8:00 PM ,"4,995,536,727","4,814,319,261","458,460,165","119,619,816",NO,YES,4.8,"181,217,466",,,,,,,103.76%,96.37%,"49,955,367","-48,143,193"
18,9:00 PM ,"5,031,159,211","6,966,111,701","35,622,484","2,151,792,440",YES,NO,4.9,"-1,934,952,490",,,,,,,72.22%,138.46%,"50,311,592","-69,661,117"
19,10:00 PM ,"5,465,556,272","7,121,980,558","434,397,061","155,868,857",YES,NO,5.0,"-1,656,424,286",,,,,,,76.74%,130.31%,"54,655,563","-71,219,806"
20,11:00 PM ,"5,962,247,455","7,227,175,455","496,691,183","105,194,897",YES,NO,5.1,"-1,264,928,000",,,,,,,82.50%,121.22%,"59,622,475","-72,271,755"
21,12:00 AM ,"6,563,481,862","7,348,594,907","601,234,407","121,419,452",YES,NO,5.2,"-785,113,045",,,,,,,89.32%,111.96%,"65,634,819","-73,485,949"
22,1:00 AM ,"7,054,053,810","7,450,910,909","490,571,948","102,316,002",YES,NO,5.3,"-396,857,099",,,,,,,94.67%,105.63%,"70,540,538","-74,509,109"
23,2:00 AM ,"7,513,212,479","7,546,831,827","459,158,669","95,920,918",NO,NO,5.4,"-33,619,348",,,,,,,99.55%,100.45%,"75,132,125","-75,468,318"
24,3:00 AM ,"7,544,040,127","7,642,529,023","30,827,648","95,697,196",YES,NO,5.5,"-98,488,896",,,,,,,98.71%,101.31%,"75,440,401","-76,425,290"
25,4:00 AM ,"8,203,600,519","7,771,451,449","659,560,392","128,922,426",NO,YES,5.6,"432,149,070",,City (Time Zone),Current Time,,,,105.56%,94.73%,"82,036,005","-77,714,514"
26,5:00 AM ,"8,238,843,929","10,314,970,717","35,243,410","2,543,519,268",YES,NO,5.7,"-2,076,126,788",,New York (EST),7/7/2018 5:00 AM,,,,79.87%,125.20%,"82,388,439","-103,149,707"
27,6:00 AM ,"8,843,880,689","10,458,786,366","605,036,760","143,815,649",YES,NO,5.8,"-1,614,905,677",,Chicago (CST),7/7/2018 4:00 AM,,,,84.56%,118.26%,"88,438,807","-104,587,864"
28,7:00 AM ,"9,514,545,159","10,562,531,319","670,664,470","103,744,953",YES,NO,5.9,"-1,047,986,160",,Denver (MST),7/7/2018 3:00 AM,,,,90.08%,111.01%,"95,145,452","-105,625,313"
29,8:00 AM ,"10,296,278,538","10,677,839,695","781,733,379","115,308,376",YES,NO,6.0,"-381,561,157",,Los Angeles (PST),7/7/2018 2:00 AM,,,,96.43%,103.71%,"102,962,785","-106,778,397"
30,9:00 AM ,"11,284,169,269","10,810,936,039","987,890,731","133,096,344",NO,YES,6.1,"473,233,230",,London (GMT),7/7/2018 10:00,,,,104.38%,95.81%,"112,841,693","-108,109,360"
31,10:00 AM ,"11,331,441,213","14,758,239,316","47,271,944","3,947,303,277",YES,NO,6.2,"-3,426,798,103",,Berlin (CET),7/7/2018 11:00,,,,76.78%,130.24%,"113,314,412","-147,582,393"
32,11:00 AM ,"12,547,253,219","14,962,052,908","1,215,812,006","203,813,592",YES,NO,6.3,"-2,414,799,689",,Tokyo (JST),2018/7/7 18:00,,,,83.86%,119.25%,"125,472,532","-149,620,529"
33,12:00 PM ,"13,630,185,407","15,081,000,888","1,082,932,188","118,947,980",YES,NO,6.4,"-1,450,815,481",,Sydney (AEST),7/7/2018 7:00 PM,,,,90.38%,110.64%,"136,301,854","-150,810,009"
34,1:00 PM ,"14,626,783,311","15,186,827,434","996,597,904","105,826,546",YES,NO,6.5,"-560,044,123",,,,,,,96.31%,103.83%,"146,267,833","-151,868,274"
35,2:00 PM ,"15,520,791,555","15,280,154,062","894,008,244","93,326,628",NO,YES,6.6,"240,637,493",,,,,,,101.57%,98.45%,"155,207,916","-152,801,541"
36,3:00 PM ,"15,558,125,446","18,037,108,746","37,333,891","2,756,954,684",YES,NO,6.7,"-2,478,983,300",,,,,,,86.26%,115.93%,"155,581,254","-180,371,087"
37,4:00 PM ,"16,523,511,352","18,177,839,995","965,385,906","140,731,249",YES,NO,6.8,"-1,654,328,643",,,,,,,90.90%,110.01%,"165,235,114","-181,778,400"
38,5:00 PM ,"17,616,085,765","18,270,089,748","1,092,574,413","92,249,753",YES,NO,6.9,"-654,003,983",,,,,,,96.42%,103.71%,"176,160,858","-182,700,897"
39,6:00 PM ,"18,977,078,485","18,370,533,031","1,360,992,720","100,443,283",NO,YES,7.0,"606,545,454",,,,,,,103.30%,96.80%,"189,770,785","-183,705,330"
40,7:00 PM ,"19,042,882,391","22,394,082,925","65,803,906","4,023,549,894",YES,NO,7.1,"-3,351,200,534",,,,,,,85.04%,117.60%,"190,428,824","-223,940,829"
41,8:00 PM ,"21,119,314,276","22,578,956,992","2,076,431,885","184,874,067",YES,NO,7.2,"-1,459,642,716",,,,,,,93.54%,106.91%,"211,193,143","-225,789,570"
42,9:00 PM ,"23,037,044,638","22,677,545,503","1,917,730,362","98,588,511",NO,YES,7.3,"359,499,135",,,,,,,101.59%,98.44%,"230,370,446","-226,775,455"
43,10:00 PM ,"23,104,086,970","26,818,080,890","67,042,332","4,140,535,387",YES,NO,7.4,"-3,713,993,920",,,,,,,86.15%,116.08%,"231,040,870","-268,180,809"
44,11:00 PM ,"25,508,884,508","27,047,240,129","2,404,797,538","229,159,239",YES,NO,7.5,"-1,538,355,621",,,,,,,94.31%,106.03%,"255,088,845","-270,472,401"
45,12:00 AM ,"28,489,392,193","27,283,930,095","2,980,507,685","236,689,966",N/A,N/A,N/A,"1,205,462,098",,,,,,,104.42%,95.77%,"284,893,922","-272,839,301"
