Duration,EST,Lyon (Total),Ike (Total),Lyon (Hourly),Ike (Hourly),Lyon Bonus,Ike Bonus,Multiplier,Lead Difference Lyon vs Ike,,Lyon,Ike,1st Hr Ratio,Current Ratio,Round Over?,Lyon % Difference (<=99 for Bonus),Ike % Difference (<=99 for Bonus),Top Multiplier Line,Bot Multiplier Line
0,3:00 AM ,0,0,0,0,N/A,N/A,3.1,0,Hourly Avg,"42,369,926","133,326,912",1 : 4.1577,1 : 3.1467,YES,,,0,0
1,4:00 AM ,"36,857,004","153,240,393","36,857,004","153,240,393",YES,NO,3.2,"-116,383,389",Bonus Avg,"140,636,009","481,759,592",,,,24.05%,415.77%,"368,570","-1,532,404"
2,5:00 AM ,"275,305,469","266,576,132","238,448,465","113,335,739",NO,YES,3.3,"8,729,337",Current Total,"28,489,392,193","27,283,930,095",,,,103.27%,96.83%,"2,753,055","-2,665,761"
3,6:00 AM ,"307,103,431","1,365,519,069","31,797,962","1,098,942,937",YES,NO,3.4,"-1,058,415,638",Bonus Active,NO,YES,,,,22.49%,444.64%,"3,071,034","-13,655,191"
4,7:00 AM ,"596,522,873","1,506,231,291","289,419,442","140,712,222",YES,NO,3.5,"-909,708,418",,The sheet was last updated by the bot at 5:15:15 AM EDT,,,,,39.60%,252.50%,"5,965,229","-15,062,313"
5,8:00 AM ,"918,202,402","1,636,046,085","321,679,529","129,814,794",YES,NO,3.6,"-717,843,683",,,,,,,56.12%,178.18%,"9,182,024","-16,360,461"
6,9:00 AM ,"1,277,154,401","1,779,186,665","358,951,999","143,140,580",YES,NO,3.7,"-502,032,264",,,,,,,71.78%,139.31%,"12,771,544","-17,791,867"
7,10:00 AM ,"1,677,741,942","1,933,693,198","400,587,541","154,506,533",YES,NO,3.8,"-255,951,256",,,,,,,86.76%,115.26%,"16,777,419","-19,336,932"
8,11:00 AM ,"2,082,936,468","2,091,769,415","405,194,526","158,076,217",NO,NO,3.9,"-8,832,947",,,,,,,99.58%,100.42%,"20,829,365","-20,917,694"
9,12:00 PM ,"2,125,616,619","2,248,211,684","42,680,151","156,442,269",YES,NO,4.0,"-122,595,065",,,,,,,94.55%,105.77%,"21,256,166","-22,482,117"
10,1:00 PM ,"2,515,327,106","2,385,309,619","389,710,487","137,097,935",NO,YES,4.1,"130,017,487",,,,,,,105.45%,94.83%,"25,153,271","-23,853,096"
