Duration,EST,Sigurd (Total),Arvis (Total),Sigurd (Hourly),Arvis (Hourly),Sigurd Bonus,Arvis Bonus,Multiplier,Lead Difference Sigurd vs Arvis,,Sigurd,Arvis,1st Hr Ratio,Current Ratio,Round Over?,Sigurd % Difference (<=99 for Bonus),Arvis % Difference (<=99 for Bonus),Top Multiplier Line,Bot Multiplier Line
0,3:00 AM ,0,0,0,0,N/A,N/A,3.1,0,Hourly Avg,"23,721,792","11,969,630",2.268 : 1,1.9818 : 1,YES,,,0,0
1,4:00 AM ,"8,977,760","3,958,438","8,977,760","3,958,438",NO,YES,3.2,"5,019,322",Bonus Avg,"122,936,935","43,543,802",,,,226.80%,44.09%,"89,778","-39,584"
2,5:00 AM ,"23,300,470","62,924,773","14,322,710","58,966,335",YES,NO,3.3,"-39,624,303",Current Total,"9,481,231,602","8,172,929,958",,,,37.03%,270.06%,"233,005","-629,248"
3,6:00 AM ,"213,406,359","69,469,265","190,105,889","6,544,492",NO,YES,3.4,"143,937,094",Bonus Active,NO,YES,,,,307.20%,32.55%,"2,134,064","-694,693"
4,7:00 AM ,"235,904,442","150,388,994","22,498,083","80,919,729",NO,YES,3.5,"85,515,448",,The sheet was last updated by the bot at 5:15:15 AM EDT,,,,,156.86%,63.75%,"2,359,044","-1,503,890"
5,8:00 AM ,"258,781,195","248,247,914","22,876,753","97,858,920",NO,YES,3.6,"10,533,281",,,,,,,104.24%,95.93%,"2,587,812","-2,482,479"
6,9:00 AM ,"288,546,857","361,736,864","29,765,662","113,488,950",YES,NO,3.7,"-73,190,007",,,,,,,79.77%,125.37%,"2,885,469","-3,617,369"
7,10:00 AM ,"711,155,580","372,262,265","422,608,723","10,525,401",NO,YES,3.8,"338,893,315",,,,,,,191.04%,52.35%,"7,111,556","-3,722,623"
8,11:00 AM ,"744,644,978","509,436,271","33,489,398","137,174,006",NO,YES,3.9,"235,208,707",,,,,,,146.17%,68.41%,"7,446,450","-5,094,363"
9,12:00 PM ,"765,409,412","641,635,751","20,764,434","132,199,480",NO,YES,4.0,"123,773,661",,,,,,,119.29%,83.83%,"7,654,094","-6,416,358"
