Duration,EST,Sigurd (Total),Arvis (Total),Sigurd (Hourly),Arvis (Hourly),Sigurd Bonus,Arvis Bonus,Multiplier,Lead Difference Sigurd vs Arvis,,Sigurd,Arvis,1st Hr Ratio,Current Ratio,Round Over?,Sigurd % Difference (<=99 for Bonus),Arvis % Difference (<=99 for Bonus),Top Multiplier Line,Bot Multiplier Line
10,1:00 PM ,"783,485,333","768,802,327","18,075,921","127,166,576",NO,YES,4.1,"14,683,006",,,,,,,101.91%,98.13%,"7,834,853","-7,688,023"
11,2:00 PM ,"798,780,981","887,074,096","15,295,648","118,271,769",YES,NO,4.2,"-88,293,115",,,,,,,90.05%,111.05%,"7,987,810","-8,870,741"
12,3:00 PM ,"1,107,018,610","896,868,526","308,237,629","9,794,430",NO,YES,4.3,"210,150,084",,,,,,,123.43%,81.02%,"11,070,186","-8,968,685"
13,4:00 PM ,"1,125,679,940","1,021,343,507","18,661,330","124,474,981",NO,YES,4.4,"104,336,433",,,,,,,110.22%,90.73%,"11,256,799","-10,213,435"
14,5:00 PM ,"1,141,112,422","1,158,763,491","15,432,482","137,419,984",YES,NO,4.5,"-17,651,069",,,,,,,98.48%,101.55%,"11,411,124","-11,587,635"
15,6:00 PM ,"1,524,588,778","1,171,155,172","383,476,356","12,391,681",NO,YES,4.6,"353,433,606",,,,,,,130.18%,76.82%,"15,245,888","-11,711,552"
16,7:00 PM ,"1,553,618,075","1,347,600,218","29,029,297","176,445,046",NO,YES,4.7,"206,017,857",,,,,,,115.29%,86.74%,"15,536,181","-13,476,002"
17,8:00 PM ,"1,572,729,884","1,511,577,708","19,111,809","163,977,490",NO,YES,4.8,"61,152,176",,,,,,,104.05%,96.11%,"15,727,299","-15,115,777"
18,9:00 PM ,"1,587,908,580","1,648,418,019","15,178,696","136,840,311",YES,NO,4.9,"-60,509,439",,,,,,,96.33%,103.81%,"15,879,086","-16,484,180"
19,10:00 PM ,"2,023,560,729","1,659,611,982","435,652,149","11,193,963",NO,YES,5.0,"363,948,747",,,,,,,121.93%,82.01%,"20,235,607","-16,596,120"
20,11:00 PM ,"2,048,626,603","1,833,844,713","25,065,874","174,232,731",NO,YES,5.1,"214,781,890",,,,,,,111.71%,89.52%,"20,486,266","-18,338,447"
21,12:00 AM ,"2,068,557,753","2,027,372,679","19,931,150","193,527,966",NO,YES,5.2,"41,185,074",,,,,,,102.03%,98.01%,"20,685,578","-20,273,727"
22,1:00 AM ,"2,083,565,059","2,182,324,275","15,007,306","154,951,596",YES,NO,5.3,"-98,759,216",,,,,,,95.47%,104.74%,"20,835,651","-21,823,243"
23,2:00 AM ,"2,589,188,703","2,192,086,707","505,623,644","9,762,432",NO,YES,5.4,"397,101,996",,,,,,,118.12%,84.66%,"25,891,887","-21,920,867"
24,3:00 AM ,"2,610,777,767","2,343,672,970","21,589,064","151,586,263",NO,YES,5.5,"267,104,797",,,,,,,111.40%,89.77%,"26,107,778","-23,436,730"
25,4:00 AM ,"2,638,429,976","2,579,071,288","27,652,209","235,398,318",NO,YES,5.6,"59,358,688",,City (Time Zone),Current Time,,,,102.30%,97.75%,"26,384,300","-25,790,713"
26,5:00 AM ,"2,661,244,700","2,775,112,653","22,814,724","196,041,365",YES,NO,5.7,"-113,867,953",,New York (EST),7/7/2018 5:00 AM,,,,95.90%,104.28%,"26,612,447","-27,751,127"
27,6:00 AM ,"3,480,593,451","2,786,405,058","819,348,751","11,292,405",NO,YES,5.8,"694,188,393",,Chicago (CST),7/7/2018 4:00 AM,,,,124.91%,80.06%,"34,805,935","-27,864,051"
28,7:00 AM ,"3,524,227,322","3,032,389,123","43,633,871","245,984,065",NO,YES,5.9,"491,838,199",,Denver (MST),7/7/2018 3:00 AM,,,,116.22%,86.04%,"35,242,273","-30,323,891"
29,8:00 AM ,"3,556,220,674","3,312,135,008","31,993,352","279,745,885",NO,YES,6.0,"244,085,666",,Los Angeles (PST),7/7/2018 2:00 AM,,,,107.37%,93.14%,"35,562,207","-33,121,350"
30,9:00 AM ,"3,588,606,543","3,657,900,262","32,385,869","345,765,254",YES,NO,6.1,"-69,293,719",,London (GMT),7/7/2018 10:00,,,,98.11%,101.93%,"35,886,065","-36,579,003"
31,10:00 AM ,"4,822,600,559","3,676,584,733","1,233,994,016","18,684,471",NO,YES,6.2,"1,146,015,826",,Berlin (CET),7/7/2018 11:00,,,,131.17%,76.24%,"48,226,006","-36,765,847"
32,11:00 AM ,"4,872,018,692","4,083,728,817","49,418,133","407,144,084",NO,YES,6.3,"788,289,875",,Tokyo (JST),2018/7/7 18:00,,,,119.30%,83.82%,"48,720,187","-40,837,288"
33,12:00 PM ,"4,895,124,100","4,435,713,416","23,105,408","351,984,599",NO,YES,6.4,"459,410,684",,Sydney (AEST),7/7/2018 7:00 PM,,,,110.36%,90.61%,"48,951,241","-44,357,134"
34,1:00 PM ,"4,912,053,493","4,753,974,121","16,929,393","318,260,705",NO,YES,6.5,"158,079,372",,,,,,,103.33%,96.78%,"49,120,535","-47,539,741"
35,2:00 PM ,"4,925,173,145","5,039,641,593","13,119,652","285,667,472",YES,NO,6.6,"-114,468,448",,,,,,,97.73%,102.32%,"49,251,731","-50,396,416"
36,3:00 PM ,"5,529,346,886","5,050,335,841","604,173,741","10,694,248",NO,YES,6.7,"479,011,045",,,,,,,109.48%,91.34%,"55,293,469","-50,503,358"
37,4:00 PM ,"5,551,788,512","5,368,875,556","22,441,626","318,539,715",NO,YES,6.8,"182,912,956",,,,,,,103.41%,96.71%,"55,517,885","-53,688,756"
38,5:00 PM ,"5,565,433,046","5,720,110,088","13,644,534","351,234,532",YES,NO,6.9,"-154,677,042",,,,,,,97.30%,102.78%,"55,654,330","-57,201,101"
39,6:00 PM ,"6,505,695,418","5,737,591,821","940,262,372","17,481,733",NO,YES,7.0,"768,103,597",,,,,,,113.39%,88.19%,"65,056,954","-57,375,918"
40,7:00 PM ,"6,542,856,250","6,306,337,168","37,160,832","568,745,347",NO,YES,7.1,"236,519,082",,,,,,,103.75%,96.39%,"65,428,563","-63,063,372"
41,8:00 PM ,"6,561,727,515","6,854,240,898","18,871,265","547,903,730",YES,NO,7.2,"-292,513,383",,,,,,,95.73%,104.46%,"65,617,275","-68,542,409"
42,9:00 PM ,"7,640,381,478","6,875,552,763","1,078,653,963","21,311,865",NO,YES,7.3,"764,828,715",,,,,,,111.12%,89.99%,"76,403,815","-68,755,528"
43,10:00 PM ,"7,679,976,088","7,494,543,298","39,594,610","618,990,535",NO,YES,7.4,"185,432,790",,,,,,,102.47%,97.59%,"76,799,761","-74,945,433"
44,11:00 PM ,"7,704,956,371","8,127,798,372","24,980,283","633,255,074",YES,NO,7.5,"-422,842,001",,,,,,,94.80%,105.49%,"77,049,564","-81,277,984"
45,12:00 AM ,"9,481,231,602","8,172,929,958","1,776,275,231","45,131,586",N/A,N/A,N/A,"1,308,301,644",,,,,,,116.01%,86.20%,"94,812,316","-81,729,300"
