Duration,EST,Ephraim (Total),Lyon (Total),Ephraim (Hourly),Lyon (Hourly),Ephraim Bonus,Lyon Bonus,Multiplier,Lead Difference Ephraim vs Lyon,,Ephraim ,Lyon,1st Hr Ratio,Current Ratio,Round Over?,Ephraim % Difference (<=99 for Bonus),Lyon % Difference (<=99 for Bonus),Top Multiplier Line,Bot Multiplier Line
26,5:00 AM ,"3,495,612,113","2,673,540,411","50,610,015","209,110,941",NO,YES,5.7,"822,071,702",,New York (EST),7/7/2018 5:00 AM,,,,130.75%,76.48%,"34,956,121","-26,735,404"
27,6:00 AM ,"3,526,392,912","2,893,493,236","30,780,799","219,952,825",NO,YES,5.8,"632,899,676",,Chicago (CST),7/7/2018 4:00 AM,,,,121.87%,82.05%,"35,263,929","-28,934,932"
28,7:00 AM ,"3,558,675,844","3,137,676,725","32,282,932","244,183,489",NO,YES,5.9,"420,999,119",,Denver (MST),7/7/2018 3:00 AM,,,,113.42%,88.17%,"35,586,758","-31,376,767"
29,8:00 AM ,"3,595,904,398","3,432,006,387","37,228,554","294,329,662",NO,YES,6.0,"163,898,011",,Los Angeles (PST),7/7/2018 2:00 AM,,,,104.78%,95.44%,"35,959,044","-34,320,064"
30,9:00 AM ,"3,636,565,938","3,796,963,497","40,661,540","364,957,110",YES,NO,6.1,"-160,397,559",,London (GMT),7/7/2018 10:00,,,,95.78%,104.41%,"36,365,659","-37,969,635"
31,10:00 AM ,"5,032,470,712","3,816,434,565","1,395,904,774","19,471,068",NO,YES,6.2,"1,216,036,147",,Berlin (CET),7/7/2018 11:00,,,,131.86%,75.84%,"50,324,707","-38,164,346"
32,11:00 AM ,"5,099,032,875","4,261,876,177","66,562,163","445,441,612",NO,YES,6.3,"837,156,698",,Tokyo (JST),2018/7/7 18:00,,,,119.64%,83.58%,"50,990,329","-42,618,762"
33,12:00 PM ,"5,135,175,704","4,666,737,014","36,142,829","404,860,837",NO,YES,6.4,"468,438,690",,Sydney (AEST),7/7/2018 7:00 PM,,,,110.04%,90.88%,"51,351,757","-46,667,370"
34,1:00 PM ,"5,166,505,038","5,032,889,894","31,329,334","366,152,880",NO,YES,6.5,"133,615,144",,,,,,,102.65%,97.41%,"51,665,050","-50,328,899"
35,2:00 PM ,"5,194,612,238","5,367,258,142","28,107,200","334,368,248",YES,NO,6.6,"-172,645,904",,,,,,,96.78%,103.32%,"51,946,122","-53,672,581"
36,3:00 PM ,"6,156,233,975","5,381,795,417","961,621,737","14,537,275",NO,YES,6.7,"774,438,558",,,,,,,114.39%,87.42%,"61,562,340","-53,817,954"
37,4:00 PM ,"6,201,184,945","5,751,796,667","44,950,970","370,001,250",NO,YES,6.8,"449,388,278",,,,,,,107.81%,92.75%,"62,011,849","-57,517,967"
38,5:00 PM ,"6,228,231,083","6,156,079,063","27,046,138","404,282,396",NO,YES,6.9,"72,152,020",,,,,,,101.17%,98.84%,"62,282,311","-61,560,791"
39,6:00 PM ,"6,259,447,831","6,687,015,179","31,216,748","530,936,116",YES,NO,7.0,"-427,567,348",,,,,,,93.61%,106.83%,"62,594,478","-66,870,152"
40,7:00 PM ,"7,742,344,165","6,708,316,991","1,482,896,334","21,301,812",NO,YES,7.1,"1,034,027,174",,,,,,,115.41%,86.64%,"77,423,442","-67,083,170"
41,8:00 PM ,"7,804,310,518","7,458,288,781","61,966,353","749,971,790",NO,YES,7.2,"346,021,737",,,,,,,104.64%,95.57%,"78,043,105","-74,582,888"
42,9:00 PM ,"7,832,947,090","8,126,289,700","28,636,572","668,000,919",YES,NO,7.3,"-293,342,610",,,,,,,96.39%,103.74%,"78,329,471","-81,262,897"
43,10:00 PM ,"9,282,227,122","8,150,451,294","1,449,280,032","24,161,594",NO,YES,7.4,"1,131,775,828",,,,,,,113.89%,87.81%,"92,822,271","-81,504,513"
44,11:00 PM ,"9,349,589,983","9,040,571,182","67,362,861","890,119,888",NO,YES,7.5,"309,018,801",,,,,,,103.42%,96.69%,"93,495,900","-90,405,712"
45,12:00 AM ,"9,416,361,014","10,110,739,657","66,771,031","1,070,168,475",N/A,N/A,N/A,"-694,378,643",,,,,,,93.13%,107.37%,"94,163,610","-101,107,397"
