Duration,EST,Hardin (Total),Sigurd (Total),Hardin (Hourly),Sigurd (Hourly),Hardin Bonus,Sigurd Bonus,Multiplier,Lead Difference Hardin vs Sigurd,,Hardin,Sigurd,1st Hr Ratio,Current Ratio,Round Over?,Hardin % Difference (<=99 for Bonus),Sigurd % Difference (<=99 for Bonus),Top Multiplier Line,Bot Multiplier Line
0,3:00 AM ,0,0,0,0,N/A,N/A,3.1,0,Hourly Avg,"40,956,160","58,661,549",1 : 1.4457,1 : 1.4323,YES,,,0,0
1,4:00 AM ,"46,344,494","66,999,711","46,344,494","66,999,711",YES,NO,3.2,"-20,655,217",Bonus Avg,"144,732,380","257,948,764",,,,69.17%,144.57%,"463,445","-669,997"
2,5:00 AM ,"352,330,409","117,542,674","305,985,915","50,542,963",NO,YES,3.3,"234,787,735",Current Total,"17,681,176,467","17,496,780,823",,,,299.75%,33.36%,"3,523,304","-1,175,427"
3,6:00 AM ,"395,919,786","722,701,574","43,589,377","605,158,900",YES,NO,3.4,"-326,781,788",Bonus Active,NO,YES,,,,54.78%,182.54%,"3,959,198","-7,227,016"
4,7:00 AM ,"784,912,476","793,552,612","388,992,690","70,851,038",YES,NO,3.5,"-8,640,136",,The sheet was last updated by the bot at 5:15:15 AM EDT,,,,,98.91%,101.10%,"7,849,125","-7,935,526"
5,8:00 AM ,"1,225,764,940","857,310,052","440,852,464","63,757,440",NO,YES,3.6,"368,454,888",,,,,,,142.98%,69.94%,"12,257,649","-8,573,101"
6,9:00 AM ,"1,282,582,431","1,766,227,318","56,817,491","908,917,266",YES,NO,3.7,"-483,644,887",,,,,,,72.62%,137.71%,"12,825,824","-17,662,273"
7,10:00 AM ,"1,825,885,437","1,858,195,584","543,303,006","91,968,266",YES,NO,3.8,"-32,310,147",,,,,,,98.26%,101.77%,"18,258,854","-18,581,956"
8,11:00 AM ,"2,388,666,077","1,930,063,471","562,780,640","71,867,887",NO,YES,3.9,"458,602,606",,,,,,,123.76%,80.80%,"23,886,661","-19,300,635"
9,12:00 PM ,"2,439,777,879","2,826,066,311","51,111,802","896,002,840",YES,NO,4.0,"-386,288,432",,,,,,,86.33%,115.83%,"24,397,779","-28,260,663"
10,1:00 PM ,"2,875,864,546","2,891,594,872","436,086,667","65,528,561",NO,NO,4.1,"-15,730,326",,,,,,,99.46%,100.55%,"28,758,645","-28,915,949"
11,2:00 PM ,"2,917,325,315","2,932,658,676","41,460,769","41,063,804",NO,NO,4.2,"-15,333,361",,,,,,,99.48%,100.53%,"29,173,253","-29,326,587"
12,3:00 PM ,"2,945,686,149","2,968,240,962","28,360,834","35,582,286",NO,NO,4.3,"-22,554,813",,,,,,,99.24%,100.77%,"29,456,861","-29,682,410"
13,4:00 PM ,"2,972,560,712","3,003,180,178","26,874,563","34,939,216",YES,NO,4.4,"-30,619,466",,,,,,,98.98%,101.03%,"29,725,607","-30,031,802"
14,5:00 PM ,"3,391,821,760","3,036,971,316","419,261,048","33,791,138",NO,YES,4.5,"354,850,444",,,,,,,111.68%,89.54%,"33,918,218","-30,369,713"
15,6:00 PM ,"3,434,242,557","3,927,483,920","42,420,797","890,512,604",YES,NO,4.6,"-493,241,363",,,,,,,87.44%,114.36%,"34,342,426","-39,274,839"
16,7:00 PM ,"4,055,143,883","3,997,650,367","620,901,326","70,166,447",NO,YES,4.7,"57,493,516",,,,,,,101.44%,98.58%,"40,551,439","-39,976,504"
17,8:00 PM ,"4,099,447,382","5,068,234,000","44,303,499","1,070,583,633",YES,NO,4.8,"-968,786,618",,,,,,,80.89%,123.63%,"40,994,474","-50,682,340"
18,9:00 PM ,"4,620,574,197","5,127,796,245","521,126,815","59,562,245",YES,NO,4.9,"-507,222,048",,,,,,,90.11%,110.98%,"46,205,742","-51,277,962"
19,10:00 PM ,"5,150,039,698","5,165,081,596","529,465,501","37,285,351",NO,NO,5.0,"-15,041,898",,,,,,,99.71%,100.29%,"51,500,397","-51,650,816"
20,11:00 PM ,"5,192,017,882","5,204,659,769","41,978,184","39,578,173",NO,NO,5.1,"-12,641,887",,,,,,,99.76%,100.24%,"51,920,179","-52,046,598"
21,12:00 AM ,"5,227,725,938","5,259,127,899","35,708,056","54,468,130",NO,NO,5.2,"-31,401,961",,,,,,,99.40%,100.60%,"52,277,259","-52,591,279"
22,1:00 AM ,"5,256,733,160","5,300,029,944","29,007,222","40,902,045",NO,NO,5.3,"-43,296,784",,,,,,,99.18%,100.82%,"52,567,332","-53,000,299"
23,2:00 AM ,"5,282,900,882","5,336,164,960","26,167,722","36,135,016",NO,NO,5.4,"-53,264,078",,,,,,,99.00%,101.01%,"52,829,009","-53,361,650"
24,3:00 AM ,"5,308,178,329","5,371,224,691","25,277,447","35,059,731",YES,NO,5.5,"-63,046,362",,,,,,,98.83%,101.19%,"53,081,783","-53,712,247"
25,4:00 AM ,"6,188,094,559","5,427,114,087","879,916,230","55,889,396",NO,YES,5.6,"760,980,472",,City (Time Zone),Current Time,,,,114.02%,87.70%,"61,880,946","-54,271,141"
26,5:00 AM ,"6,233,372,472","6,818,385,941","45,277,913","1,391,271,854",YES,NO,5.7,"-585,013,469",,New York (EST),7/7/2018 5:00 AM,,,,91.42%,109.39%,"62,333,725","-68,183,859"
27,6:00 AM ,"7,052,122,797","6,890,579,926","818,750,325","72,193,985",NO,YES,5.8,"161,542,871",,Chicago (CST),7/7/2018 4:00 AM,,,,102.34%,97.71%,"70,521,228","-68,905,799"
28,7:00 AM ,"7,105,186,874","8,555,945,027","53,064,077","1,665,365,101",YES,NO,5.9,"-1,450,758,153",,Denver (MST),7/7/2018 3:00 AM,,,,83.04%,120.42%,"71,051,869","-85,559,450"
29,8:00 AM ,"8,155,763,575","8,645,565,903","1,050,576,701","89,620,876",YES,NO,6.0,"-489,802,328",,Los Angeles (PST),7/7/2018 2:00 AM,,,,94.33%,106.01%,"81,557,636","-86,455,659"
30,9:00 AM ,"9,332,535,062","8,708,353,063","1,176,771,487","62,787,160",NO,YES,6.1,"624,181,999",,London (GMT),7/7/2018 10:00,,,,107.17%,93.31%,"93,325,351","-87,083,531"
31,10:00 AM ,"9,396,973,364","11,001,144,635","64,438,302","2,292,791,572",YES,NO,6.2,"-1,604,171,271",,Berlin (CET),7/7/2018 11:00,,,,85.42%,117.07%,"93,969,734","-110,011,446"
32,11:00 AM ,"10,639,039,340","11,098,056,627","1,242,065,976","96,911,992",YES,NO,6.3,"-459,017,287",,Tokyo (JST),2018/7/7 18:00,,,,95.86%,104.31%,"106,390,393","-110,980,566"
33,12:00 PM ,"11,694,297,236","11,145,463,104","1,055,257,896","47,406,477",NO,YES,6.4,"548,834,132",,Sydney (AEST),7/7/2018 7:00 PM,,,,104.92%,95.31%,"116,942,972","-111,454,631"
34,1:00 PM ,"11,740,034,996","12,824,818,737","45,737,760","1,679,355,633",YES,NO,6.5,"-1,084,783,741",,,,,,,91.54%,109.24%,"117,400,350","-128,248,187"
35,2:00 PM ,"12,563,566,710","12,881,736,738","823,531,714","56,918,001",YES,NO,6.6,"-318,170,028",,,,,,,97.53%,102.53%,"125,635,667","-128,817,367"
36,3:00 PM ,"13,259,128,569","12,910,112,354","695,561,859","28,375,616",NO,YES,6.7,"349,016,215",,,,,,,102.70%,97.37%,"132,591,286","-129,101,124"
37,4:00 PM ,"13,295,416,915","14,181,434,242","36,288,346","1,271,321,888",YES,NO,6.8,"-886,017,327",,,,,,,93.75%,106.66%,"132,954,169","-141,814,342"
38,5:00 PM ,"14,128,296,159","14,234,327,259","832,879,244","52,893,017",NO,NO,6.9,"-106,031,100",,,,,,,99.26%,100.75%,"141,282,962","-142,343,273"
39,6:00 PM ,"14,175,178,349","14,275,383,094","46,882,190","41,055,835",NO,NO,7.0,"-100,204,745",,,,,,,99.30%,100.71%,"141,751,783","-142,753,831"
40,7:00 PM ,"14,206,651,784","14,323,353,946","31,473,435","47,970,852",NO,NO,7.1,"-116,702,162",,,,,,,99.19%,100.82%,"142,066,518","-143,233,539"
41,8:00 PM ,"14,236,646,558","14,371,208,453","29,994,774","47,854,507",NO,NO,7.2,"-134,561,895",,,,,,,99.06%,100.95%,"142,366,466","-143,712,085"
42,9:00 PM ,"14,264,144,189","14,415,969,017","27,497,631","44,760,564",YES,NO,7.3,"-151,824,828",,,,,,,98.95%,101.06%,"142,641,442","-144,159,690"
43,10:00 PM ,"15,661,051,874","14,461,924,209","1,396,907,685","45,955,192",NO,YES,7.4,"1,199,127,665",,,,,,,108.29%,92.34%,"156,610,519","-144,619,242"
44,11:00 PM ,"15,723,923,035","17,292,931,077","62,871,161","2,831,006,868",YES,NO,7.5,"-1,569,008,042",,,,,,,90.93%,109.98%,"157,239,230","-172,929,311"
45,12:00 AM ,"17,681,176,467","17,496,780,823","1,957,253,432","203,849,746",N/A,N/A,N/A,"184,395,644",,,,,,,101.05%,98.96%,"176,811,765","-174,967,808"
